BookingUUID;to_Travel_TravelUUID;BookingID;BookingDate;to_Customer_CustomerID;to_Carrier_AirlineID;ConnectionID;FlightDate;FlightPrice;CurrencyCode_code;BookingStatus_code;LastChangedAt
7A757221A8E4645C17002DF03754AB66;52657221A8E4645C17002DF03754AB66;0001;2025-02-12;000099;SW;1537;2025-02-14;438.00;USD;N;2025-01-31T19:48:08Z
7B757221A8E4645C17002DF03754AB66;52657221A8E4645C17002DF03754AB66;0002;2025-02-12;000660;SW;1537;2025-02-14;438.00;USD;N;2025-01-31T19:48:08Z
7C757221A8E4645C17002DF03754AB66;53657221A8E4645C17002DF03754AB66;0001;2025-01-25;000093;SW;1537;2025-02-14;438.00;USD;N;2025-01-31T21:07:58Z
7D757221A8E4645C17002DF03754AB66;53657221A8E4645C17002DF03754AB66;0002;2025-01-25;000706;SW;1537;2025-02-14;438.00;USD;N;2025-01-31T21:07:58Z
7E757221A8E4645C17002DF03754AB66;53657221A8E4645C17002DF03754AB66;0003;2025-01-28;000093;GA;0322;2025-02-16;438.00;USD;X;2025-01-31T21:07:58Z
7F757221A8E4645C17002DF03754AB66;53657221A8E4645C17002DF03754AB66;0004;2025-01-28;000706;GA;0322;2025-02-16;438.00;USD;N;2025-01-31T21:07:58Z
80757221A8E4645C17002DF03754AB66;53657221A8E4645C17002DF03754AB66;0005;2025-12-08;000093;SW;1537;2025-12-12;438.00;USD;N;2025-01-31T21:07:58Z
81757221A8E4645C17002DF03754AB66;53657221A8E4645C17002DF03754AB66;0006;2025-12-08;000706;SW;1537;2025-12-12;438.00;USD;N;2025-01-31T21:07:58Z
82757221A8E4645C17002DF03754AB66;53657221A8E4645C17002DF03754AB66;0007;2025-12-01;000093;GA;0322;2025-12-14;438.00;USD;N;2025-01-31T21:07:58Z
83757221A8E4645C17002DF03754AB66;53657221A8E4645C17002DF03754AB66;0008;2025-12-01;000706;GA;0322;2025-12-14;438.00;USD;N;2025-01-31T21:07:58Z
84757221A8E4645C17002DF03754AB66;54657221A8E4645C17002DF03754AB66;0001;2025-02-08;000665;SW;1537;2025-02-14;438.00;USD;N;2025-01-30T03:37:18Z
85757221A8E4645C17002DF03754AB66;54657221A8E4645C17002DF03754AB66;0002;2025-02-14;000665;GA;0322;2025-02-16;438.00;USD;N;2025-01-30T03:37:18Z
86757221A8E4645C17002DF03754AB66;54657221A8E4645C17002DF03754AB66;0003;2025-12-01;000665;SW;1537;2025-12-12;438.00;USD;N;2025-01-30T03:37:18Z
87757221A8E4645C17002DF03754AB66;54657221A8E4645C17002DF03754AB66;0004;2025-12-09;000665;GA;0322;2025-12-14;438.00;USD;N;2025-01-30T03:37:18Z
88757221A8E4645C17002DF03754AB66;55657221A8E4645C17002DF03754AB66;0001;2025-02-11;000161;SW;1537;2025-02-14;438.00;USD;X;2025-02-11T21:16:11Z
89757221A8E4645C17002DF03754AB66;55657221A8E4645C17002DF03754AB66;0002;2025-02-11;000461;SW;1537;2025-02-14;438.00;USD;N;2025-02-11T21:16:11Z
8A757221A8E4645C17002DF03754AB66;56657221A8E4645C17002DF03754AB66;0001;2025-02-03;000072;SW;1537;2025-02-14;438.00;USD;N;2025-01-30T15:57:59Z
8B757221A8E4645C17002DF03754AB66;56657221A8E4645C17002DF03754AB66;0002;2025-02-03;000399;SW;1537;2025-02-14;438.00;USD;N;2025-01-30T15:57:59Z
8C757221A8E4645C17002DF03754AB66;56657221A8E4645C17002DF03754AB66;0003;2025-02-03;000203;SW;1537;2025-02-14;438.00;USD;N;2025-01-30T15:57:59Z
8D757221A8E4645C17002DF03754AB66;56657221A8E4645C17002DF03754AB66;0004;2025-01-27;000072;GA;0322;2025-02-16;438.00;USD;N;2025-01-30T15:57:59Z
8E757221A8E4645C17002DF03754AB66;56657221A8E4645C17002DF03754AB66;0005;2025-01-27;000399;GA;0322;2025-02-16;438.00;USD;N;2025-01-30T15:57:59Z
8F757221A8E4645C17002DF03754AB66;56657221A8E4645C17002DF03754AB66;0006;2025-01-27;000203;GA;0322;2025-02-16;438.00;USD;N;2025-01-30T15:57:59Z
90757221A8E4645C17002DF03754AB66;56657221A8E4645C17002DF03754AB66;0007;2025-11-22;000072;SW;1537;2025-12-12;438.00;USD;N;2025-01-30T15:57:59Z
91757221A8E4645C17002DF03754AB66;56657221A8E4645C17002DF03754AB66;0008;2025-11-22;000399;SW;1537;2025-12-12;438.00;USD;N;2025-01-30T15:57:59Z
92757221A8E4645C17002DF03754AB66;56657221A8E4645C17002DF03754AB66;0009;2025-11-22;000203;SW;1537;2025-12-12;438.00;USD;X;2025-01-30T15:57:59Z
93757221A8E4645C17002DF03754AB66;56657221A8E4645C17002DF03754AB66;0010;2025-11-24;000072;GA;0322;2025-12-14;438.00;USD;N;2025-01-30T15:57:59Z
94757221A8E4645C17002DF03754AB66;56657221A8E4645C17002DF03754AB66;0011;2025-11-24;000399;GA;0322;2025-12-14;438.00;USD;N;2025-01-30T15:57:59Z
